cluster,icd10_code,icd10_name
Schizophrenia,F20.4,Post-schizophrenic depression
Schizophrenia,F20.5,Residual schizophrenia
Schizophrenia,F20.6,Simple schizophrenia
Schizophrenia,F20.8,Other schizophrenia
Schizophrenia,F20.9,"Schizophrenia, unspecified"
Schizophrenia,F23.0,Acute polymorphic psychotic disorder without symptoms of schizophrenia
Schizophrenia,F23.1,Acute polymorphic psychotic disorder with symptoms of schizophrenia
Schizophrenia,F23.2,Acute schizophrenia-like psychotic disorder
Schizophrenia,F84.3,Other childhood disintegrative disorder
Hypersomnia,F51.1,Nonorganic hypersomnia
Hypersomnia,G47.4,Narcolepsy and cataplexy
Insomnia,F51.0,Nonorganic insomnia
Parasomnias,F51.3,Sleepwalking [somnambulism]
Parasomnias,F51.4,Sleep terrors [night terrors]
Parasomnias,F51.5,Nightmares
Anger/Aggression,R45.4,Irritability and anger
Anger/Aggression,R45.5,Hostility
Anger/Aggression,R45.6,Physical violence
Anxiety Symptoms,R45.0,Nervousness
Anxiety Symptoms,Z71.1,Person with feared complaint in whom no diagnosis is made
Anxiety Symptoms,Z73.3,"Stress, not elsewhere classified"
Attention Symptoms,R46.3,Overactivity
Depressive Symptoms,R45.2,Unhappiness
Hallucinations,R44.0,Auditory hallucinations
Hallucinations,R44.1,Visual hallucinations
Hallucinations,R44.2,Other hallucinations
Hallucinations,R44.3,"Hallucinations, unspecified"
Alcohol,F10.0,"Mental and behavioural disorders due to use of alcohol, Acute intoxication"
Alcohol,F10.1,"Mental and behavioural disorders due to use of alcohol, Harmful use"
Alcohol,F10.2,"Mental and behavioural disorders due to use of alcohol, Dependence syndrome"
Alcohol,F10.3,"Mental and behavioural disorders due to use of alcohol, Withdrawal state"
Alcohol,F10.8,"Mental and behavioural disorders due to use of alcohol, Other mental and behavioural disorders"
Alcohol,F10.9,"Mental and behavioural disorders due to use of alcohol, Unspecified mental and behavioural disorder"
Alcohol,G31.2,Degeneration of nervous system due to alcohol
Alcohol,Z50.2,Alcohol rehabilitation
Opioid Related,F11.1,"Mental and behavioural disorders due to use of opioids, harmful use"
Opioid Related,F11.2,"Mental and behavioural disorders due to use of opioids, dependence syndrome"
Opioid Related,F11.3,"Mental and behavioural disorders due to use of opioids, withdrawal state"
Opioid Related,F11.4,"Mental and behavioural disorders due to use of opioids, withdrawal state with delirium"
Other Substances,F10.9,"Mental and behavioural disorders due to use of alcohol, Unspecified mental and behavioural disorder"
Other Substances,F11.8,"Mental and behavioural disorders due to use of opioids, other mental and behavioural disorders"
Other Substances,F11.9,"Mental and behavioural disorders due to use of opioids, unspecified mental and behavioural disorder"
Other Substances,F13.0,"Mental and behavioural disorders due to use of sedatives or hypnotics, acute intoxication"
Other Substances,F13.1,"Mental and behavioural disorders due to use of sedatives or hypnotics, harmful use"
Other Substances,F13.2,"Mental and behavioural disorders due to use of sedatives or hypnotics, dependence syndrome"
Other Substances,F13.3,"Mental and behavioural disorders due to use of sedatives or hypnotics, withdrawal state"
Other Substances,F14.1,"Mental and behavioural disorders due to use of cocaine, harmful use"
Other Substances,F14.2,"Mental and behavioural disorders due to use of cocaine, dependence syndrome"
Other Substances,F14.3,"Mental and behavioural disorders due to use of cocaine, withdrawal state"
Other Substances,F14.4,"Mental and behavioural disorders due to use of cocaine, withdrawal state with delirium"
Other Substances,F14.8,"Mental and behavioural disorders due to use of cocaine, other mental and behavioural disorders"
Other Substances,F14.9,"Mental and behavioural disorders due to use of cocaine, unspecified mental and behavioural disorder"
Other Substances,F15.0,"Mental and behavioural disorders due to use of other stimulants, including caffeine, acute intoxication"
Other Substances,F15.1,"Mental and behavioural disorders due to use of other stimulants, including caffeine, harmful use"
Other Substances,F15.2,"Mental and behavioural disorders due to use of other stimulants, including caffeine, dependence syndrome"
Other Substances,F15.3,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state"
Other Substances,F15.4,"Mental and behavioural disorders due to use of other stimulants, including caffeine, withdrawal state with delirium"
Other Substances,F15.8,"Mental and behavioural disorders due to use of other stimulants, including caffeine, other mental and behavioural disorders"
Other Substances,F15.9,"Mental and behavioural disorders due to use of other stimulants, including caffeine, unspecified mental and behavioural disorder"
Other Substances,F16.1,"Mental and behavioural disorders due to use of hallucinogens, harmful use"
Other Substances,F16.2,"Mental and behavioural disorders due to use of hallucinogens, dependence syndrome"
Other Substances,F16.3,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state"
Other Substances,F16.4,"Mental and behavioural disorders due to use of hallucinogens, withdrawal state with delirium"
Other Substances,F16.8,"Mental and behavioural disorders due to use of hallucinogens, other mental and behavioural disorders"
Other Substances,F16.9,"Mental and behavioural disorders due to use of hallucinogens, unspecified mental and behavioural disorder"
Other Substances,F17.8,"Mental and behavioural disorders due to use of tobacco, other mental and behavioural disorders"
Other Substances,F17.9,"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"
Other Substances,F18.1,"Mental and behavioural disorders due to use of volatile solvents, harmful use"
Other Substances,F18.2,"Mental and behavioural disorders due to use of volatile solvents, dependence syndrome"
Other Substances,F18.3,"Mental and behavioural disorders due to use of volatile solvents, withdrawal state"
Other Substances,F18.4,"Mental and behavioural disorders due to use of volatile solvents, withdrawal state with delirium"
Other Substances,F18.8,"Mental and behavioural disorders due to use of volatile solvents, other mental and behavioural disorders"
Other Substances,F18.9,"Mental and behavioural disorders due to use of volatile solvents, unspecified mental and behavioural disorder"
Other Substances,F19.1,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, harmful use"
Other Substances,F19.2,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, dependence syndrome"
Other Substances,F19.3,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, withdrawal state"
Other Substances,F19.4,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, withdrawal state with delirium"
Other Substances,F19.8,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, other mental and behavioural disorders"
Other Substances,F19.9,"Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances, unspecified mental and behavioural disorder"
Other Substances,F55,Abuse of non-dependence-producing substances
Other Substances,T50,"Poisoning by diuretics and other and unspecified drugs, medicaments and biological substances"
Other Substances,Z50.3,Drug rehabilitation
Other Substances,Z81.3,Family history of other psychoactive substance abuse
Other Substances,Z86.4,Personal history of psychoactive substance abuse
THC,F12.1,"Mental and behavioural disorders due to use of cannabinoids, harmful use"
THC,F12.2,"Mental and behavioural disorders due to use of cannabinoids, dependence syndrome"
THC,F12.3,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state"
THC,F12.4,"Mental and behavioural disorders due to use of cannabinoids, withdrawal state with delirium"
THC,F12.8,"Mental and behavioural disorders due to use of cannabinoids, other mental and behavioural disorders"
THC,F12.9,"Mental and behavioural disorders due to use of cannabinoids, unspecified mental and behavioural disorder"
Tobacco,F17,Mental and behavioural disorders due to use of tobacco
Tobacco,F17.1,"Mental and behavioural disorders due to use of tobacco, harmful use"
Tobacco,F17.2,"Mental and behavioural disorders due to use of tobacco, dependence syndrome"
Tobacco,F17.3,"Mental and behavioural disorders due to use of tobacco, withdrawal state"
Tobacco,F17.4,"Mental and behavioural disorders due to use of tobacco, withdrawal state with delirium"
Tobacco,F17.5,"Mental and behavioural disorders due to use of tobacco, psychotic disorder"
Tobacco,F17.6,"Mental and behavioural disorders due to use of tobacco, amnesic syndrome"
Tobacco,F17.7,"Mental and behavioural disorders due to use of tobacco, residual and late-onset psychotic disorder"
Tobacco,F17.8,"Mental and behavioural disorders due to use of tobacco, other mental and behavioural disorders"
Tobacco,F17.9,"Mental and behavioural disorders due to use of tobacco, unspecified mental and behavioural disorder"
Tobacco,Z72.0,Tobacco use
Tobacco,Z81.2,Family history of tobacco abuse
Tic Disorder,F95,Tic disorders
Tic Disorder,F95.0,Transient tic disorder
Tic Disorder,F95.1,Chronic motor or vocal tic disorder
Tic Disorder,F95.2,Combined vocal and multiple motor tic disorder [de la Tourette]
Tic Disorder,F95.8,Other tic disorders
Tic Disorder,F95.9,"Tic disorder, unspecified"
Tic Disorder,F98.4,Stereotyped movement disorders
